departamento,clase,familia,FechaCorte,ExisUnidades,CantidadVendida
6,601,601001,2016-01-31 00:00:00,52733,487
3,316,316124,2016-07-31 00:00:00,13588712,10724
2,211,211079,2014-08-31 00:00:00,9464523,9688
4,403,403088,2014-09-30 00:00:00,481827,614
2,210,210029,2014-10-31 00:00:00,4677398,4613
8,864,864007,2015-06-30 00:00:00,6833291,6646
3,314,314063,2016-02-29 00:00:00,54632874,44404
3,310,310300,2014-02-28 00:00:00,688307,2309
3,309,309142,2015-04-30 00:00:00,405628,1032
1,104,104114,2016-02-29 00:00:00,12249883,8522
3,306,306189,2016-02-29 00:00:00,64725766,34673
2,209,209032,2016-09-30 00:00:00,7969458,6640
4,401,401324,2016-07-31 00:00:00,2650703,4803
7,701,701061,2016-08-31 00:00:00,4329,148
8,885,885191,2015-09-30 00:00:00,3914,40
8,860,860237,2016-02-29 00:00:00,38808,49
2,227,227079,2016-07-31 00:00:00,18801847,16371
1,110,110140,2013-04-30 00:00:00,239112,689
5,594,594002,2016-08-31 00:00:00,362508,667
7,742,742026,2014-09-30 00:00:00,19005279,26392
7,774,774253,2014-11-30 00:00:00,24291375,31174
7,775,775259,2013-06-30 00:00:00,3517018,3888
2,201,201008,2014-05-31 00:00:00,19781,33
1,106,106002,2016-01-31 00:00:00,40961679,20380
8,859,859038,2015-07-31 00:00:00,328,35
3,309,309027,2014-12-31 00:00:00,11606248,26070
7,796,796034,2016-05-31 00:00:00,936272,4916
7,750,750030,2015-07-31 00:00:00,10656070,11646
7,701,701105,2013-11-30 00:00:00,2380790,5431
2,202,202013,2013-04-30 00:00:00,45017494,18063
8,872,872006,2014-10-31 00:00:00,11389709,6410
2,202,202011,2015-05-31 00:00:00,28029412,19447
5,596,596061,2015-02-28 00:00:00,5106669,4265
3,309,309092,2016-01-31 00:00:00,3304566,4668
7,776,776265,2014-05-31 00:00:00,9225912,17252
5,595,595062,2015-08-31 00:00:00,10345,138
5,537,537078,2015-01-31 00:00:00,9583190,11518
2,281,281019,2014-10-31 00:00:00,2789654,2413
8,885,885197,2016-07-31 00:00:00,3845919,2482
5,540,540069,2016-03-31 00:00:00,18843714,17168
3,316,316068,2014-04-30 00:00:00,40044528,24070
7,701,701067,2015-07-31 00:00:00,5507938,7825
4,414,414137,2015-01-31 00:00:00,47512675,18156
8,862,862008,2013-05-31 00:00:00,218639086,68693
7,752,752071,2013-06-30 00:00:00,31502631,21585
1,106,106235,2016-06-30 00:00:00,88703,137
4,418,418281,2016-08-31 00:00:00,7891517,4331
3,391,391104,2014-05-31 00:00:00,916844,1491
8,854,854022,2015-10-31 00:00:00,46658475,25750
4,410,410215,2016-09-30 00:00:00,591569,501
4,401,401187,2016-03-31 00:00:00,7519602,12612
7,788,788269,2013-11-30 00:00:00,10269905,17495
8,871,871202,2015-09-30 00:00:00,312,26
5,586,586009,2016-06-30 00:00:00,16657,117
1,110,110080,2016-06-30 00:00:00,491048,2178
1,110,110282,2014-10-31 00:00:00,42188625,28811
3,327,327116,2015-12-31 00:00:00,4854922,6009
8,862,862004,2015-03-31 00:00:00,20218496,10406
7,748,748030,2016-01-31 00:00:00,3794398,3616
3,387,387301,2014-12-31 00:00:00,10514344,22033
7,742,742101,2014-07-31 00:00:00,1339419,1938
8,862,862004,2014-01-31 00:00:00,7693193,3191
1,194,194032,2014-11-30 00:00:00,35523,156
3,325,325098,2015-08-31 00:00:00,52333877,32687
8,854,854174,2016-01-31 00:00:00,3392574,2718
5,538,538008,2013-07-31 00:00:00,5181479,5349
3,319,319061,2013-03-31 00:00:00,19365268,12020
7,796,796001,2015-11-30 00:00:00,898959,4552
8,847,847301,2015-08-31 00:00:00,21392309,19275
3,387,387302,2014-08-31 00:00:00,4805571,12527
3,326,326205,2015-06-30 00:00:00,49776,656
1,106,106236,2016-02-29 00:00:00,1454,27
5,538,538092,2014-11-30 00:00:00,9432385,10085
4,403,403039,2014-11-30 00:00:00,3718,33
